id , TEV NAME , OTHER NAMES , TYPE , RA (J2000) , Dec (J2000) , LII(degrees) , BII(degrees) , ErrRaStat[s] , ErrRaSys[s] , ErrDecStat[arcsec] , ErrDecSys[arcsec] , EXTENDED , SEMIMAJOR[deg] , ERRMAJOR[deg] , SEMIMINOR[deg] , ERRMINOR[deg] , ROTATION ANGLE[deg] , DIFF. FLUX NORMALIZATION[x TeV^-1 cm^-2 s^-1] , DIFF. FLUX NORMALIZATION ERRSTAT[x TeV^-1 cm^-2 s^-1] , DIFF. FLUX NORMALIZATION ERRSYS[x TeV^-1 cm^-2 s^-1] , SPECTRAL SLOPE , ERRSLOPESTAT , ERRSLOPESYS , INTEGRAL FLUX , ErrFluxStat[x 10^-12 cm^-2 s^-1] , ErrFluxSys[x 10^-12 cm^-2 s^-1] , OTHER SPECTRAL COMPONENTS , Flux in CU[%] , THR ENERGY [GeV] , MIN ZENITH[deg] , MAX ZENITH[deg] , MEAN ZENITH[deg] , DISTANCE[kPc] , Distance , Discoverer , Observatory , START TIME[MJD] , END OBSERVATION[MJD] , EXPOSURE TIME[ksec] , POS. ERROR CIRCLE[deg] , Diff. Flux. Norm. Energy[TeV] , REFERENCE , COMMENTS
117 , "TeV J1818-1528" , "HESS J1818-154/ SNR G015.4+00.1" , "SNR" , "18 18 04.8" , "-15 28 01" , "15.4" , "0.16" , "3.1" , "1.3" , "43" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "9e-14" , "2e-14" , "2e-14" , "2.3" , "0.3" , "0.2" , "0.9" , "0.3" , "0.2" , "NO" , "0.3" , "420" , "-" , "-" , "23" , "4.8" , "-" , "HESS" , "HESS" , "53005" , "55926" , "288" , "0.014" , "1.9" , "Abramowski et al. (2014), A&A 562, A40" , "-"
118 , "TeV J1825-1350" , "HESS J1825-137/ PSR J1826-1334" , "PWN" , "18 25 41" , "-13 50 20" , "17.71" , "-0.7" , "4" , "1.3" , "40" , "20" , "YES" , "0.26" , "0.02" , "0.23" , "0.02" , "17" , "1.98e-11" , "4e-13" , "4e-12" , "2.38" , "0.02" , "0.15" , "874" , "20" , "-" , "YES" , "68" , "270" , "-" , "-" , "20.1" , "3.9" , "-" , "HESS" , "HESS" , "53096" , "53643" , "241.2" , "0.018" , "1" , "Aharonian et al. (2006), A&A 460, 365" , "Orientation measured counterclockwise from the North. Best-fit spectrum: I0*E^(-Gamma+Beta*logE), with I0=(21.0+/-0.4)x1E-12/TeV/cm^2/s, Gamma=2.29+/-0.02 and Beta=-0.17+/-0.04."
119 , "TeV J1826-1449" , "LS 5039" , "XRB" , "18 26 15" , "-14 49 30" , "16.9" , "-1.28" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "9.1e-13" , "7e-15" , "-" , "2.53" , "0.07" , "0.1" , "-" , "-" , "-" , "NO" , "-" , "1000" , "-" , "-" , "-" , "2.5" , "-" , "HESS" , "HESS" , "53005" , "53735" , "249.12" , "-" , "-" , "Aharonian et al. (2006), A&A 463, 743" , "Superior conjuction: orbital phase <=0.45 and >0.9."
120 , "TeV J1831-0954" , "HESS J1831-098" , "PWN" , "18 31 25" , "-09 54 00" , "21.85" , "-0.11" , "-" , "-" , "-" , "-" , "YES" , "0.15" , "-" , "0.15" , "-" , "-" , "1.1e-12" , "1e-13" , "-" , "2.1" , "0.1" , "-" , "1.0" , "-" , "-" , "NO" , "4" , "1000" , "-" , "-" , "22.8" , "4.3" , "-" , "HESS" , "HESS" , "53005" , "55043" , "144" , "-" , "1" , "Sheidaei et al. (2011), Fermi Symp. (arXiv:1110.6837)" , "-"
121 , "TeV J1832-0922" , "HESS J1832-093/ SNR G22.7-0.2" , "UNID" , "18 32 50" , "-09 22 36" , "22.47" , "-0.18" , "3" , "2" , "32" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "4.8e-13" , "8e-14" , "1e-13" , "2.6" , "0.3" , "0.1" , "0.30" , "0.08" , "0.06" , "NO" , "1" , "1000" , "13" , "50" , "25" , "3.7" , "-" , "HESS" , "HESS" , "53005" , "55926" , "241.2" , "0.015" , "1" , "Abramowski et al. (2014), MNRAS 446, 1163" , "-"
122 , "TeV J1833-1033" , "HESS J1833-105/ G 21.5-0.9/ PSR J1833-1034" , "PWN/SNR" , "18 33 32.5" , "-10 33 19" , "21.51" , "-0.88" , "0.9" , "1.3" , "55" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "4.6e-13" , "1e-13" , "-" , "2.08" , "0.22" , "0.1" , "0.43" , "-" , "-" , "NO" , "2" , "1000" , "-" , "-" , "-" , "4.7" , "-" , "HESS" , "HESS" , "53005" , "53735" , "70.92" , "0.016" , "1" , "Djannati-Atai et al. (2008), 30th ICRC Vol. 2, 823" , "Source announced at the 30th ICRC (2008)."
123 , "TeV J1834-0845" , "HESS J1834-087" , "UNID" , "18 34 46.5" , "-08 45 52" , "23.24" , "-0.33" , "-" , "1.3" , "-" , "20" , "YES" , "0.09" , "-" , "0.09" , "-" , "-" , "2.6e-12" , "-" , "-" , "2.45" , "0.16" , "0.2" , "18.7" , "2" , "5.6" , "NO" , "8" , "200" , "-" , "-" , "-" , "-" , "-" , "HESS" , "HESS" , "53126" , "53308" , "26.28" , "-" , "1" , "Aharonian et al. (2006), ApJ 636, 777" , "Best-fit position: l=(23.24+/-0.02)deg; b=(-0.32+/-0.02)deg."
124 , "TeV J1837-0656" , "HESS J1837-069" , "PWN" , "18 37 37.1" , "-06 56 20" , "25.18" , "-0.11" , "-" , "1.3" , "-" , "20" , "YES" , "0.12" , "0.02" , "0.05" , "0.02" , "149" , "5e-12" , "-" , "-" , "2.27" , "0.06" , "0.2" , "30.4" , "1.6" , "9.1" , "NO" , "11" , "200" , "-" , "-" , "-" , "-" , "-" , "HESS" , "HESS" , "53126" , "53308" , "984.96" , "-" , "1" , "Aharonian et al. (2006), ApJ 636, 777" , "Best-fit position: l=(25.185+/-0.012)deg; b=(-0.106+/-0.016)deg. Orientation angle: (149+/-10)deg, measured counter-clk wise wrt positive Gal. Lat. Axis."
125 , "TeV J1840-0533" , "HESS J1841-055" , "UNID" , "18 40 55" , "-05 33 00" , "26.79" , "-0.2" , "12" , "1.3" , "180" , "20" , "YES" , "0.41" , "0.04" , "0.25" , "0.02" , "39" , "1.28e-11" , "1.3e-12" , "-" , "2.41" , "0.08" , "0.2" , "9.1" , "-" , "-" , "NO" , "37" , "540" , "-" , "-" , "-" , "-" , "-" , "HESS" , "HESS" , "-" , "-" , "93.6" , "0.050" , "1" , "Aharonian et al. (2008), A&A 477, 353" , "Orientation angle: (39+/-6)deg, measured counter-clockwise wrt RA axis positive direction."
126 , "TeV J1843-0318" , "HESS J1843-033" , "UNID" , "18 43 00" , "-03 18 00" , "29.03" , "0.36" , "-" , "-" , "-" , "-" , "YES" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "HESS" , "HESS" , "-" , "-" , "-" , "-" , "-" , "Hoppe (2008), 30th ICRC" , "Source announced at the 30th ICRC (2008). Pos. updates according to Terrier et al., TeV Particle Astrophysics Conference 2011, August 2011, Stockholm. Source shows to be a complex TeV emission region."
127 , "TeV J1846-0258" , "HESS J1846-029/ Kes 75/ G 29.70.3" , "PWN/SNR" , "18 46 24.1" , "-02 58 53" , "29.7" , "-0.25" , "0.5" , "1.3" , "34" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "6.2e-13" , "9e-14" , "-" , "2.26" , "0.15" , "0.1" , "0.49" , "-" , "-" , "NO" , "2" , "1000" , "-" , "-" , "-" , "19" , "-" , "HESS" , "HESS" , "53005" , "54465" , "24.1" , "0.011" , "1" , "Djannati-Atai et al. (2008), 30th ICRC Vol. 2, 823" , "Source announced at the 30th ICRC (2008)."
128 , "TeV J1848-0147" , "HESS J1848-018/ W43/WR121" , "WR/MSC" , "18 48 29" , "-01 47 32" , "31" , "-0.17" , "-" , "-" , "-" , "-" , "YES" , "0.32" , "0.02" , "0.32" , "0.02" , "-" , "-" , "-" , "-" , "2.8" , "-" , "-" , "-" , "-" , "-" , "NO" , "2" , "1000" , "-" , "-" , "-" , "5.3" , "-" , "HESS" , "HESS" , "-" , "-" , "-" , "-" , "-" , "Chaves et al. (2008), AIP 1085, 372" , "-"
129 , "TeV J1849-0001" , "IGR J18490-0000/ HESS J1849-000" , "PWN" , "18 49 01.63" , "-00 01 17.2" , "32.63" , "0.52" , "-" , "-" , "-" , "-" , "YES" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "1.5" , "350" , "-" , "-" , "-" , "7" , "-" , "HESS" , "HESS" , "-" , "-" , "-" , "-" , "-" , "Terrier et al. (2008), AIP 1085, 312" , "-"
130 , "TeV J1857+0242" , "HESS J1857+026" , "UNID" , "18 57 15.7" , "+02 42 17" , "36" , "-0.07" , "5.8" , "7.2" , "86" , "108" , "YES" , "0.20" , "0.03" , "0.20" , "0.03" , "-" , "5.37e-12" , "4.4e-13" , "1.5e-12" , "2.16" , "0.07" , "0.15" , "-" , "-" , "-" , "NO" , "-" , "-" , "25" , "36" , "-" , "-" , "-" , "MAGIC" , "MAGIC" , "55378" , "55500" , "104.4" , "0.039" , "1" , "Aleksic et al (2014), A&A 571, A96" , "Energy spectrum between 100 GeV and 13 TeV. Morphology for the 0.3 - 1 TeV energy range. Above 1 TeV, the source shows two spatially distinct components: MAGIC J1857.2+0263 and MAGIC J1857.6+0297."
131 , "TeV J1858+0205" , "HESS J1858+020" , "UNID" , "18 58 20" , "+02 05 24" , "35.57" , "-0.59" , "12" , "1.3" , "180" , "20" , "YES" , "0.08" , "0.02" , "0.02" , "0.04" , "4" , "6e-13" , "1e-13" , "-" , "2.17" , "0.12" , "0.2" , "1.2" , "-" , "-" , "NO" , "1.8" , "500" , "-" , "-" , "-" , "-" , "-" , "HESS" , "HESS" , "-" , "-" , "90" , "0.050" , "1" , "Aharonian et al. (2008), A&A 477, 353" , "Orientation angle: (4+/-17)deg measured counter-clock wise relative to RA axis."
132 , "TeV J1907+0613" , "MGRO J1908+06/ HESS J1908+063" , "UNID" , "19 07 21.6" , "+06 13 12" , "40.28" , "-0.69" , "4.8" , "-" , "72" , "-" , "YES" , "0.44" , "0.02" , "0.44" , "0.02" , "-" , "4.23e-12" , "4.1e-13" , "8.5e-13" , "2.20" , "0.10" , "0.20" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "31" , "-" , "-" , "MILAGRO" , "VERITAS" , "54101" , "56292" , "223.2" , "0.020" , "1" , "Aliu et al. (2014), ApJ 787, 166" , "-"
133 , "TeV J1911+0905" , "W 49B" , "SNR/MC" , "19 11 07" , "+09 05 34" , "43.25" , "-0.19" , "17" , "1.3" , "24" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "2.3e-13" , "4e-14" , "6e-14" , "3.1" , "0.3" , "0.2" , "0.11" , "0.03" , "0.03" , "NO" , "0.5" , "1000" , "-" , "-" , "-" , "8" , "-" , "HESS" , "HESS" , "-" , "-" , "216" , "0.071" , "1" , "Brun et al. (2011), Texas Symp. 2010 (arXiv:1104.5003)" , "Best-fit pos.: l=43.258+/-0.008deg, b=-0.188+/-0.01deg."
134 , "TeV J1912+1009" , "HESS J1912+101/ PSR J1913+1011" , "PWN" , "19 12 49" , "+10 09 06" , "44.39" , "-0.08" , "12" , "1.3" , "180" , "20" , "YES" , "0.27" , "0.03" , "0.27" , "0.03" , "-" , "3.5e-12" , "6e-13" , "1e-12" , "2.7" , "0.2" , "0.3" , "2" , "-" , "-" , "NO" , "9" , "1000" , "33" , "54" , "-" , "4.48" , "-" , "HESS" , "HESS" , "53005" , "54100" , "74.88" , "0.050" , "1" , "Aharonian et al. (2008), A&A 477, 353" , "-"
135 , "TeV J1922+1411" , "HESS J1923+141/ W 51C/ G49.2-0.7" , "SNR/MC" , "19 22 55.2" , "+14 11 28" , "49.11" , "-0.37" , "3.6" , "-" , "54" , "-" , "YES" , "0.12" , "0.02" , "0.12" , "0.02" , "-" , "9.7e-13" , "1e-13" , "1.5e-13" , "2.58" , "0.07" , "0.22" , "-" , "-" , "-" , "NO" , "3" , "1000" , "14" , "35" , "-" , "6" , "-" , "HESS" , "MAGIC" , "55333" , "55725" , "191" , "0.015" , "1" , "Aleksic et al (2012), A&A 541, A13" , "-"
136 , "TeV J1930+1852" , "VER J1930+188/ G 54.1+0.3/ PSR J1930+1852" , "PWN/SNR" , "19 30 32" , "+18 52 12" , "54.09" , "0.25" , "25" , "5" , "20" , "72" , "NO" , "-" , "-" , "-" , "-" , "-" , "7.5e-13" , "1.2e-13" , "1.5e-13" , "2.39" , "0.23" , "0.3" , "0.54" , "-" , "-" , "NO" , "2.5" , "1000" , "13" , "35" , "-" , "6.2" , "-" , "VERITAS" , "VERITAS" , "54344" , "55012" , "131.76" , "0.11" , "1" , "Acciari et al. (2010), ApJ 719, L69-L73" , "-"
137 , "TeV J1943+2118" , "HESS J1943+213" , "HBL" , "19 43 55" , "+21 18 08" , "57.75" , "-1.3" , "1" , "1" , "17" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "5.6e-13" , "8e-14" , "1.1e-13" , "3.1" , "0.3" , "0.2" , "1.3" , "0.2" , "0.3" , "NO" , "2" , "470" , "-" , "-" , "49" , "-" , "-" , "HESS" , "HESS" , "53900" , "55100" , "89.28" , "0.0073" , "1" , "Abramowski et al. (2011), A&A 529, A49" , "The source is tentatively classified as an extreme HBL."
138 , "TeV J1959+6508" , "1ES 1959+650" , "HBL" , "19 59 59.9" , "+65 08 54.7" , "98" , "17.67" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "4.3e-12" , "5e-13" , "-" , "2.72" , "0.14" , "-" , "47" , "5" , "16" , "NO" , "20" , "180" , "36" , "46" , "-" , "-" , "0.048" , "TA" , "MAGIC" , "53254" , "53294.9" , "21.6" , "-" , "1" , "Albert et al. (2005), ApJ 639, 761" , "No position is quoted. Coordinates from NED (2002ApJS 141 13B)."
139 , "TeV J2001+4353" , "MAGIC J2001+435" , "IBL" , "20 01 13.5" , "+43 53 02.8" , "79.07" , "7.11" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "20" , "100" , "-" , "-" , "-" , "-" , "-" , "MAGIC" , "MAGIC" , "55393" , "-" , "-" , "-" , "-" , "Mariotti et al. (2010), ATel #2753" , "-"
140 , "TeV J2009-4849" , "PKS 2005-489" , "HBL" , "20 09 27.0" , "-48 49 52" , "350.37" , "-32.61" , "1.5" , "1.3" , "16" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.37e-11" , "1.7e-12" , "2.7e-12" , "3.20" , "0.16" , "0.10" , "2.57" , "0.18" , "0.51" , "NO" , "2.9" , "400" , "-" , "-" , "35" , "295100" , "0.071" , "HESS" , "HESS" , "53171" , "53345" , "325.08" , "0.0083" , "0.4" , "Acero et al. (2010), A&A 511, A52" , "Time-averaged spectrum for the 2004-2007 years, between 300 GeV and 5.3 TeV."
141 , "TeV J2016+3711" , "VER J2016+371/ CTB 87" , "PWN/SNR" , "20 16 02" , "+37 11 52" , "74.94" , "1.14" , "3" , "3" , "40" , "50" , "NO" , "-" , "-" , "-" , "-" , "-" , "3.1e-13" , "9e-14" , "6e-14" , "2.3" , "0.3" , "0.2" , "-" , "-" , "-" , "NO" , "1" , "1000" , "5" , "35" , "-" , "6" , "-" , "VERITAS" , "VERITAS" , "55287" , "55561" , "252" , "0.019" , "1" , "Aliu et al. (2014), ApJ 788, 78" , "Integrated energy flux between 650 GeV to 10 TeV equals to (8.2 +/- 3.4 +/- 2.9)x1E-13 erg/cm2/s."
142 , "TeV J2018+3642" , "MGRO J2019+37" , "PWN/UNID" , "20 18 43" , "+36 42 00" , "74.82" , "0.41" , "-" , "-" , "-" , "-" , "YES" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "650" , "-" , "-" , "-" , "-" , "-" , "MILAGRO" , "VERITAS" , "55317" , "55561" , "270" , "-" , "-" , "Aliu et al. (2011), 32nd ICRC (arXiv:1110.4656)" , "Preliminary results from 32nd ICRC (2011). MGRO J2019+37 appears formed by multiple TeV sources."
143 , "TeV J2019+3648" , "VER J2019+368" , "UNID" , "20 19 52" , "+36 48 14" , "75.04" , "0.28" , "72" , "3" , "58" , "50" , "YES" , "0.34" , "0.03" , "0.13" , "0.02" , "71" , "8.1e-14" , "7e-15" , "1.6e-14" , "1.75" , "0.08" , "0.2" , "-" , "-" , "-" , "NO" , "-" , "-" , "5" , "35" , "-" , "-" , "-" , "MILAGRO" , "VERITAS" , "55287" , "55561" , "252" , "0.30" , "5" , "Aliu et al. (2014), ApJ 788, 78" , "Spectrum extends from 1 to 30 TeV. Orientation angle is 71 deg, east of north."
144 , "TeV J2020+4045" , "VER J2019+407/ SNR G78.2+2.1" , "UNID" , "20 20 04.8" , "+40 45 36" , "78.33" , "2.49" , "7.2" , "4" , "108" , "65" , "YES" , "0.23" , "0.03" , "0.23" , "0.03" , "-" , "1.5e-12" , "2e-13" , "4e-13" , "2.37" , "0.14" , "0.20" , "5.2" , "0.8" , "1.4" , "NO" , "3.7" , "320" , "10" , "30" , "-" , "-" , "-" , "VERITAS" , "VERITAS" , "55075" , "55165" , "67" , "0.035" , "1" , "Aliu et al. (2013), ApJ 770, 93" , "Spectral properties between 320 GeV and 10 TeV."
145 , "TeV J2031+4040" , "MGRO J2031+41/ TeV J2032+4130" , "UNID" , "20 31 43" , "+40 40 00" , "79.53" , "0.63" , "72" , "-" , "1080" , "-" , "YES" , "-" , "-" , "-" , "-" , "-" , "6.33e-16" , "8.3e-17" , "-" , "2.6" , "-" , "-" , "-" , "-" , "-" , "NO" , "15" , "-" , "-" , "-" , "-" , "-" , "-" , "MILAGRO" , "MILAGRO" , "51544" , "54647" , "-" , "0.30" , "35" , "Abdo et al. (2009), ApJ 700, L127" , "-"
146 , "TeV J2031+4133" , "TeV J2032+4130" , "UNID" , "20 31 40" , "+41 33 53" , "80.24" , "1.17" , "65" , "-" , "37" , "-" , "YES" , "0.16" , "0.02" , "0.07" , "0.01" , "63" , "9.5e-13" , "1.6e-13" , "2.2e-13" , "2.10" , "0.14" , "0.21" , "-" , "-" , "-" , "NO" , "4.3" , "1000" , "-" , "-" , "32" , "-" , "-" , "HEGRA" , "VERITAS" , "54832" , "56292" , "173.52" , "0.27" , "1" , "Aliu et al. (2014), ApJ 783, 16" , "Orientation angle: (63 +/- 6)deg, northwest. Integrated energy flux (E>1 TeV)=(2.35 +/- 0.55)x1E-12 erg/cm2/s."
147 , "TeV J2158-3013" , "PKS 2155-304" , "HBL" , "21 58 52.6" , "-30 13 18" , "17.73" , "-52.25" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "3.27" , "0.12" , "-" , "-" , "-" , "-" , "NO" , "-" , "200" , "-" , "-" , "-" , "-" , "0.116" , "Durham" , "HESS" , "53944" , "53947" , "-" , "-" , "-" , "HESS collaboration (2010), A&A 520, A83" , "Data from HESS collaboration (2010) A&A 520, A83. No position is quoted. Coordinates from NED. 4 nights of flaring state: flux values are different for every nights but no spectral index variability."
148 , "TeV J2202+4216" , "1ES 2200+420/ BL Lacertae" , "LBL" , "22 02 43.3" , "+42 16 40" , "92.58" , "-10.44" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.9e-11" , "5e-12" , "-" , "3.6" , "0.5" , "0.2" , "6" , "2" , "3" , "NO" , "3" , "200" , "-" , "-" , "-" , "287000" , "0.069" , "MAGIC" , "MAGIC" , "53583" , "53734" , "64.08" , "-" , "0.3" , "Albert et al. (2007), ApJ 666, L17" , "Observed between August and December 2005. No signal in 2006. Position from NED."
149 , "TeV J2227+6052" , "G 106.3+2.7/ VER J2227+608" , "SNR" , "22 27 59" , "+60 52 37" , "106.34" , "2.71" , "17" , "17" , "144" , "252" , "YES" , "0.27" , "0.05" , "0.18" , "0.03" , "22" , "1.15e-13" , "2.7e-14" , "3.5e-14" , "2.29" , "0.33" , "0.3" , "1.11" , "0.25" , "0.28" , "NO" , "5" , "1000" , "-" , "-" , "34" , "0.8" , "-" , "VERITAS" , "VERITAS" , "54710" , "54800" , "120.24" , "0.10" , "3" , "Acciari et al. (2009), ApJ 703, L6" , "-"
150 , "TeV J2228+6110" , "Boomerang/ G 106.6+2.9/ PSR J2229+6114" , "PWN/SNR" , "22 28 44" , "+61 10 00" , "106.57" , "2.91" , "40" , "72" , "590" , "900" , "YES" , "-" , "-" , "-" , "-" , "-" , "7.09e-16" , "1.08e-16" , "-" , "2.6" , "-" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "0.8" , "-" , "MILAGRO" , "MILAGRO" , "51544" , "54647" , "-" , "0.34" , "35" , "Abdo et al. (2009), ApJ 700, L127" , "-"
151 , "TeV J2243+2021" , "RGB J2243+203" , "IBL" , "22 43 54.7" , "+20 21 03.8" , "86.56" , "-33.37" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "4" , "180" , "-" , "-" , "-" , "-" , ">0.39" , "VERITAS" , "VERITAS" , "57012" , "57015" , "14.4" , "-" , "-" , "Holder at al. (2014), ATel #6849" , "Source detection announced in ATel #6849."
152 , "TeV J2250+3824" , "B3 2247+381" , "HBL" , "22 50 05.75" , "+38 24 37.2" , "98.25" , "-18.58" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.4e-11" , "3e-12" , "2e-12" , "3.2" , "0.5" , "0.5" , "5.0" , "0.6" , "1.1" , "-" , "-" , "200" , "-" , "-" , "-" , "488750" , "0.1187" , "MAGIC" , "MAGIC" , "55469" , "55499" , "57.24" , "-" , "0.3" , "Aleksic et al (2012), A&A 539, A118" , "Position from NED (2011AJ 142 105P). The source is consistent and associated to 1FGL J2250.1+3825 (RA:22 50 06.6 DEC: +38 25 58 )."
153 , "TeV J2323+5848" , "Cassiopeia A" , "SNR" , "23 23 24" , "+58 48 54" , "111.73" , "-2.13" , "-" , "5" , "-" , "72" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.26e-12" , "1.8e-13" , "-" , "2.61" , "0.24" , "0.2" , "0.776" , "0.011" , "-" , "NO" , "3" , "1000" , "26" , "39" , "32" , "3.4" , "-" , "HEGRA" , "VERITAS" , "54344" , "54434" , "79.2" , "0.020" , "1" , "Acciari et al. (2010), ApJ 714, 163" , "The derived position of the peak of gamma-ray position from Cassiopeia A deviates from the nominal position of the SNR (RA=23h24m24s; DEC=+58d48.9’ (J2000)) by 14 arcsec in RA and 35 arcsec in DEC. Upper limit on source extent: <0.058 deg."
154 , "TeV J2346+5142" , "1ES 2344+514" , "HBL" , "23 46 00" , "+51 42 36" , "112.72" , "-9.86" , "24" , "-" , "72" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.2e-11" , "1e-12" , "5e-12" , "2.95" , "0.12" , "0.2" , "23.8" , "3" , "7" , "NO" , "10" , "200" , "23" , "38" , "-" , "183820" , "0.044" , "WHIPPLE" , "MAGIC" , "53585" , "53736" , "83.16" , "0.10" , "0.5" , "Albert et al. (2007), ApJ 662, 892" , "-"
155 , "TeV J2359-3037" , "H 2356-309/ 1H 2354-315" , "HBL" , "23 59 07.8" , "-30 37 18" , "12.87" , "-78.04" , "1.6" , "1.3" , "20" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "3.3e-13" , "4.5e-14" , "6.6e-14" , "3.06" , "0.15" , "0.1" , "3.06" , "0.26" , "0.61" , "NO" , "-" , "240" , "-" , "-" , "19" , "672630" , "0.165" , "HESS" , "HESS" , "53160" , "54300" , "420.48" , "0.0086" , "1" , "Abramowski et al. (2010) A&A, 516, 56" , "-"
